locale,review_id,author,rating,review_text,date,app_version
en-np,96f81805-f908-4fe4-814f-1ab25880fa36,Sovit Chaudhary,1,Naam ko matrw xa. Yeuta issue ni solve hudaina. Go for other alternatives option.,2025-01-27T17:06:04,
en-np,48dfbdcf-5f68-4608-bbf0-d609dc6ccdc8,Gautam Chaudhary,1,Dob is saying 16 year is needed but I am already 16 year,2025-01-27T15:53:55,4.4.0.0
en-np,725a99d1-3699-4239-b4e9-49bbd382ae12,Sagar Dahal,2,Not working after new update.....,2025-01-27T14:38:03,4.4.0.0
en-np,9ec75d43-5d26-4924-9362-8fcf07229cb6,Niran Pariyar,1,Khosta mug khatey haru nam ko matra esewa loda sewa .... Chaini bela technical issue yrr tait... I personally not recommend this app as means of transaction......very bad need to improve a lot,2025-01-27T14:30:24,4.4.0.0
en-np,7b948dc3-7d71-4eee-beaa-76eb5a0cdac2,Lujaw Maharjan,1,Thiss wallet payment app is trash 🗑️,2025-01-27T14:28:50,4.4.0.0
en-np,e81503ff-440b-4da7-99b8-42942d1009ff,MahaKaal MaXx,1,Not working properly🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,2025-01-27T14:28:00,
en-np,47415436-b068-4b77-8e56-5ba64b36e826,Mohan Budhathoki,1,I don't know why but I can't login into my esewa I'd I really enjoyed using the app before but today it's been a worse experience I wasn't able to transfer the amount properly and now I cannot login at the app I hope you would fix this.Thank you,2025-01-27T14:24:52,
en-np,282ba58b-4fd5-4d44-9c76-d460bbb15351,Bibek Sah,2,Please improve your server problem,2025-01-27T14:20:15,4.4.0.0
en-np,c69e8e3e-e85f-41da-a4be-7877ebc14767,SOMIYA THAPA,1,"Always server down , when we need, most of the time",2025-01-27T14:19:15,4.4.0.0
en-np,0c4e3021-53cb-439d-979e-e234c64a6c63,Tilak Chaudhary,1,More network issues 😕,2025-01-27T14:17:43,4.4.0.0
en-np,9371af33-33ef-402e-81d9-84b9bf7ccf17,Khem Limbu,1,K mugi kera app ho ghari login hudaina ghari k hunxa,2025-01-27T14:07:38,4.4.0.0
en-np,cb515789-a916-4fbb-8f7f-9f7fa5b3c3d8,Sandip xettri,1,Everyday everytime server down aba use garna wala choina delete gardinchu esewa nai,2025-01-27T14:07:07,4.4.0.0
en-np,4463dd93-eca2-4cb1-a4a6-053c739c1513,I am Don,1,Machickney khatey app,2025-01-27T14:04:25,
en-np,a6bd1828-d411-4ffe-948f-9e940a109423,Rosan DA,1,Transaction not going well,2025-01-27T13:58:20,
en-np,99852f93-639f-4429-9457-0b26c3a669ce,Suman Chettri,5,Very nice,2025-01-27T13:54:31,
en-np,c3298b56-d843-4e77-a243-1f1dcfbcb013,King Gamers,1,Very bad experience,2025-01-27T13:53:38,4.3.3.4
en-np,d0c73e2c-1bc7-4e3a-ad39-d46f15150287,Bimal Magar,5,Nice,2025-01-27T13:50:58,4.3.4.3
en-np,e97b591d-6404-4376-89a6-dd5a6567c4b8,rupesh budhathoki,5,Nice,2025-01-27T13:35:36,4.4.0.0
en-np,ac695d24-0e88-4d5f-b4cb-84360f91a163,Sandip Bhusal,3,Useful,2025-01-27T13:34:56,4.3.4.3
en-np,a20988da-342b-4c76-98db-6057ded59a7a,Diya Karki,1,Jindagi ma Kahile use na garne gari uninstall gardai xu important kaam pae ko bela 4 ghanta paxi payment garna paye😾👎👎👎,2025-01-27T13:34:00,4.3.3.5
en-np,fbc43a89-2c35-4a4c-842d-65ed3d8c8958,Anuska Budha,1,Kam xaina horolo app Naya mbl maogin garna ni msg pathaunu parxa Ani paisa katxa,2025-01-27T13:33:43,4.4.0.0
en-np,e4eb047f-4f25-414a-80ee-58cc094de0b6,Raj Nagarkoti,1,Update garekoo paxii confirming aaudinaa tww Ababa k hoo tyaaa,2025-01-27T13:27:32,
en-np,7fefc77a-e13a-4998-bdfd-ebb7d82e121f,Raghu Mukhiya,1,Due to this update I'm will definitely not use esewa because there isany issues and we are getting many trouble,2025-01-27T13:21:08,4.4.0.0
en-np,8606a456-c66b-49d3-a1cf-78dda3b5b841,Aatif Husain,4,Esewa best payment app ❤️,2025-01-27T13:19:53,4.4.0.0
en-np,4a45331b-daef-4f44-90e4-59840d4f5f56,Paban Rai,5,oky,2025-01-27T13:15:35,4.3.4.3
en-np,b0bd9be2-a4e3-460e-80c7-345c48bbd719,Bhagawati Kafle,1,Lastai lack xa slow chalxa,2025-01-27T13:14:00,4.4.0.0
en-np,1f46402b-131c-4efd-8a34-70e8ad0e770e,Riyan Mdhr,1,Slow,2025-01-27T13:13:47,
en-np,04d2155b-961c-42eb-837e-af0aae9b9934,Narayan Upadhayay,3,Good,2025-01-27T12:53:40,4.4.0.0
en-np,b9a5f458-0c79-48f6-8f0e-ee9e0d88b4c1,Rup Lal,4,Good apps,2025-01-27T12:12:04,4.4.0.0
en-np,ebae5e84-d115-44ab-9d41-8dc9f8c47adf,laxmi pradhan,5,nic app,2025-01-27T11:51:54,4.3.4.3
en-np,8b0e9f3a-c21f-4cb9-9c3b-97d95bd09ff0,"RAJU LA,MA",1,No. 1 scam app in Nepal,2025-01-27T11:25:02,4.4.0.0
en-np,a61ce9df-36f5-4aa3-b250-01622cd3dad8,Puja Dhami,1,"It's been 2 months hai I forgot my password as well as mpin number Ani forgot mpin ma janxu message sent garxu feri aayara teyo number lekhda your account is temporarily blocked or 5 min, 30 mins vanxa how should I login my id now just tell me",2025-01-27T09:24:34,4.4.0.0
en-np,d5ef5bad-e426-47ac-a183-3373837e1dc2,Md tabaruk nadaf Md tabaruk nadaf,5,Best,2025-01-27T07:22:06,4.4.0.0
en-np,f41615d2-4ac2-485b-baca-55b90df80811,Abhishek Thapa Magar,5,"The latest update to the eSewa app has left me feeling a bit disappointed. I used to appreciate the convenience of being able to change my custom profile picture from drawer then from my gallery for Personalization. Esewa can use our horrible looking pp for security purpose in server side:). Unfortunately, this feature has been removed in the recent update. If they bring back that feature, 1 will happily give eSewa a 5-star rating. (After update they added this feature, Gave a 5 star rating)",2025-01-27T02:33:42,4.4.0.0
en-np,f486f020-fa83-4270-b376-0e165e154250,Nilu Teck,5,Easy to make any payment at any time Thank you esewa,2025-01-27T02:05:04,
