locale,review_id,author,rating,review_text,date,app_version
en-np,4eefb638-5b52-4069-b3a6-ff6c570bcd8c,myien gurung,1,Always user sessions expired only... Whenever i try to login also..,2020-07-10T17:38:05,3.7.5
en-np,52da467a-299e-44ea-b8f0-b4356a87b828,Horror Stories,5,Good app,2020-07-10T14:45:52,3.7.5
en-np,65224e66-5fe4-4458-8183-4ea9baeeffd5,MR Gaming,5,I love this app becase it very easy,2020-07-10T13:21:00,3.7.4.3
en-np,0767b467-33aa-4b1b-9132-c53bde11ce3b,Bhim Mgr,5,This is a good app,2020-07-10T13:11:53,
en-np,ca625c09-232a-43ae-8eec-0d3c750fc3ec,Bradley Thompson,5,Nepal best money transiction app.,2020-07-10T12:58:13,
en-np,ce6cb5b1-86b0-41ed-a60e-1ade92d21ec8,Aakash Kumar Jaiswal,3,"It is nice mobile wallet and i have very nice experience with this🇳🇵 but there must be a features like Buying game UC, Diamond 💎 and Game coins which all youngsters want this features then it becomes one of the best mobile wallet in all over Nepal 🇳🇵. What do you think 🤔???",2020-07-10T11:24:34,3.7.5
en-np,f6f7a0fa-b2b4-4426-9204-1fee4268f8d9,Zee Series,1,We need buy to Google Gift card 😠😠,2020-07-10T10:43:02,
en-np,0910fffd-252b-4311-980d-2488904faf5d,Ram Arjel,5,Better,2020-07-10T10:32:49,3.7.4.3
en-np,22c7eed2-b315-452f-83df-6045e7eb7fa2,D noob,5,Bikalpa,2020-07-10T10:15:46,
en-np,8d242f69-a45f-4b76-9725-23965a5f0536,Mahesh Chauhan,5,Vry useful app,2020-07-10T10:02:27,3.7.4.3
en-np,68b268a3-0fec-4822-8b03-b2403de4945f,Anurag Jha,5,I love this app because it helps me a lot. Ican send and recieve money with our friends or family I can pay internet electricity and many other bill at home easily with cashback.,2020-07-10T09:57:37,3.7.5
en-np,dba1c216-0f4e-47af-9625-99fa7be99bb8,Aryan Gautam,5,Very nice app using since 3 years very satisfied.,2020-07-10T09:33:20,3.7.5
en-np,0896645a-2a84-4d4a-9e2e-4d570662e02c,Intertech Qatar,3,While i try to login to pay for video pasal app it says failed. Contact with service provider. Please resolve this issue .,2020-07-10T09:01:45,3.7.5
en-np,e8f05ea9-dc27-4ba5-b2e4-2e3941db866c,sandip chaudhary,5,Amazing wallet,2020-07-10T08:51:10,
en-np,3d1e345f-85ca-4b41-b93f-17c9a8a9d1f1,Sajan Khadka,5,Very good app,2020-07-10T08:25:54,
en-np,cab75ac3-d43a-4573-b471-55dd094c8170,Lokendra Cheetri,5,nepali,2020-07-10T07:51:48,
en-np,98fbfe7e-02c1-4f80-836e-b0b5ca43129e,Sita Parajuli,5,It's an awesome app to make all types of transactions digitally.,2020-07-10T07:49:31,3.7.5
en-np,06068912-f2ed-45ff-ab3d-b874bc58f03b,Ar Yan,5,i love esewa,2020-07-10T07:17:46,3.7.4.3
en-np,e8b7a43a-1928-48ea-bebc-fc3584752cc3,SOMANCE GAMER Hasan,1,Kumari bank pani add garnu parxa,2020-07-10T06:29:28,
en-np,dc212058-51c6-42ac-a00e-de56e893083e,Arjun Saru,5,Nice,2020-07-10T05:47:22,3.7.5
en-np,39ccc97f-9328-4e1b-b780-a5eb0d720692,Good Human,4,Good for daily basis. Please improve quantity and quality. Old is gold Take this seriously Thankyou,2020-07-10T05:42:22,
en-np,cea7595c-3db3-4cb5-b320-df24c36d05f7,Milan Gurung,5,Very good,2020-07-10T05:04:46,3.7.5
en-np,e2bc81b0-e3f1-4247-990e-f59091bad791,Bankai Senbonjakura,5,Nice app,2020-07-10T04:59:06,3.7.5
en-np,12429232-8cb7-45c4-89bb-0a2fcde4ffea,Chhabi Bhandari,5,It is very easy and faster thank you so much,2020-07-10T03:13:30,3.6.6
en-np,d0cc6614-763b-4dea-9e85-92b072425af4,Soul SHADOW Gamer,1,Gamming Power,2020-07-10T02:14:57,3.7.4.3
