locale,review_id,author,rating,review_text,date,app_version
en-np,c183a4c5-efcd-4a31-a772-7b37de022bf7,A B,2,Profile picture change garna milna Paro!!,2023-11-21T16:26:39,
en-np,91f52d9d-c015-4bda-8841-973c949e45fd,Nujahat Khatun,1,Very poor service any time server down,2023-11-21T16:03:56,4.1.1.0
en-np,51b6a5c9-8318-449d-86b2-a8553c322b7b,Nirjan Rana,1,Login problem 😡,2023-11-21T14:02:25,
en-np,9baeb2a6-dbd8-4c0a-8249-c3e101d5bd22,Cosmic,1,@Esewa My profile picture can't be re changed.,2023-11-21T12:49:01,4.1.1.0
en-np,e1cadc16-86d6-4bf5-9e4f-5ec33cf1879d,PRadum Tajpuriya,4,Nepali flavor,2023-11-21T12:43:56,4.1.1.0
en-np,d9d37f17-ba91-4f7b-8765-028be8ef7c4a,suraj harijan,4,Ture maike burr,2023-11-21T07:34:52,
en-np,3975fde9-acbb-4fd2-b048-b442ce3c0c9e,Chandrika Yadav,1,My e sewa can't working since a month ago,2023-11-21T03:11:53,4.1.1.0
