locale,review_id,author,rating,review_text,date,app_version
en-np,31ab4353-4738-47c7-8dee-13e64da48bec,Nitin kumar mandal,4,GOOD APP,2020-06-04T14:54:04,3.7.3
en-np,68aae30a-9481-40c4-9a2c-c0a48c82e02d,Nepal Digital Product,5,VERY NICE FINANCIAL APP It is very easy to transfer money and do many financial transactions,2020-06-04T14:45:07,3.7.3.1
en-np,2f3bf46b-4711-4662-aca6-bd42ebb06515,Cursed Gamers,1,Help line sucks 😠😠😠 Dont wana recev call jst cut itt off y are you westing my time n cash lockdown ma digital mobilization ho ki Fraud ho ma jasto online gaming digital cashierlai encouge ho ki discouraged ho ultai suspended Atlest din ma 2 transfer ta dinu No pre pop up notice about it ekkai choti exced Sir plz do inbox my reply or my whole 250 daily active members move on to khalti Improved your vison Without destroying our faith 10days!! Ma auta transfer R u kiddin😠 Be best nt good.,2020-06-04T12:29:18,3.7.3.1
en-np,8009978e-3ff5-42f6-a815-3b9cd576fc34,Tara Tara,5,Very nice apps,2020-06-04T11:41:43,3.7.3.1
en-np,b1520e6a-f5e0-4c66-b117-a1df02c554de,LSG ARMY,5,Good,2020-06-04T10:50:09,3.4.8
en-np,67732367-315e-4e53-815c-696ba3d1dc3e,Maniss Maniss (LRD JNS),1,App crash when recharge card options are dropped down,2020-06-04T10:07:01,3.7.2
en-np,60d3eb76-26ab-414d-af64-ea6324a0c69c,Raj Dangaura,5,Nice app,2020-06-04T06:43:12,3.7.3.1
en-np,70800ab6-fb5e-4d85-9abd-aabfa492ed79,Balmiki Pathak,5,Best aap for online payment in nepal,2020-06-04T04:01:37,3.7.3.1
en-np,80d7b8df-5064-4160-a8fc-f216897780f9,Laxman Raut,5,Nice,2020-06-04T03:24:27,3.7.3
en-np,379e9726-458b-4bbe-b1a7-ea8ca9247562,MIKSONG Tamang,5,Nice work nepal,2020-06-04T03:02:50,3.6.8
en-np,09f55647-4262-4ed3-807b-f7e2e69161cd,Mohan Ghimire,5,Earwax is best...,2020-06-04T02:56:42,3.6.7
en-np,3862ecb2-7015-4830-b1ee-b94eac34f220,Bijay Kumar Rouniyar,5,I think it is the most useful wallet of Nepal,2020-06-04T01:45:24,3.7.3.1
en-np,8a0b12ba-e58f-45f9-8f64-0c3ad4ca2f37,Niranjan Bist,5,Good,2020-06-03T23:44:37,3.7.3
