locale,review_id,author,rating,review_text,date,app_version
en-np,27e60ad7-af40-41ec-8ff6-769f726ef472,Rehan Khan,2,Notification is very delay,2024-12-20T12:43:59,4.2.0.1
en-np,4963037f-589c-448b-b364-a8ee50cc2f68,rajkumarbalamibalami rajkumar,5,Lon dhina milcha sir 50 000,2024-12-20T08:23:38,4.3.4.0
en-np,ed3fa8dd-ef0a-47ac-9a20-1ff30f9972a2,Cricket Kiddo,4,Good application 💯 trust 😀👍 safe the reason I don't give 5 ⭐ because customers care services is not working properly,2024-12-20T06:55:00,4.3.4.0
en-np,b5265b29-c951-48d9-a796-0b20d6fce2d7,Raziv,4,"This app is good for almost all payment systems in one place. The problem I’m facing is that I recently disconnected my linked accounts, but not the withdrawal account. Both accounts are from the same bank. Now, I can't link my account again, even though the account number and other credentials are correct. The same bank is already connected in the withdrawal section, but it’s not connecting in the linked area. The main issue is that the verification window doesn’t verify.",2024-12-20T06:42:39,4.3.4.1
en-np,61b11572-c06b-4a27-ae73-2e87f9589b2a,Jhabin Shrees,5,Essay and fast service,2024-12-20T05:09:33,4.3.4.1
en-np,8a63a2da-6457-496f-8ead-d0c4be0364c8,Shalini Srivastav,5,Gsgshus,2024-12-20T04:21:50,4.3.4.1
en-np,edbadfb9-5836-4045-9a63-8376d707057b,Sagar Achhamee,1,"If your 1000 rupees are distributed among 100 people, you only have 100 rupees. That's not good ☹️💔💔",2024-12-20T02:24:34,4.3.4.1
