locale,review_id,author,rating,review_text,date,app_version
en-np,e4167efb-9ed1-4e01-923c-c32c7ddcea5f,Ratish Thakur,5,very good,2026-06-08T11:26:48,4.8.3.0
en-np,a2077fda-e6cb-4c3e-bb52-a9ea3fd35f7c,Nabin Dumre,5,very good app it has taken almost 3000 RS where I don't know what a scam 🫵😂 but I will also give 5 star for it's business for scam 🫵 keep it uppp,2026-06-08T11:04:11,
en-np,a282ad3f-875c-4bdb-8da5-a1b20d5d0fa5,Oneplus10pro134,2,"I have been using eSewa Web login services for years as I am living outside of the country. But eSewa recently disabled send money and bank transfer which is making me lots of disturbance in making payment, please resolve the issue and kindly enable send money and bank transfer in web logins",2026-06-08T11:01:06,4.8.3.0
en-np,bdfa736a-3c9c-4f58-9255-b08df8e6964e,Asim Chettri,5,... Best ✓,2026-06-08T06:17:20,
