locale,review_id,author,rating,review_text,date,app_version
en-np,5dc3869f-c95b-47e2-9424-916c26de96e3,Yogesh Bardewa,3,Esewa team should also add google pay method,2020-08-30T14:46:00,3.7.7
en-np,76f372ed-2fca-4c38-9914-02768d6a3017,Sumit Thapa,3,Can we use esewa service in foreign country?,2020-08-30T14:33:19,3.7.7
en-np,3d9698ed-8e52-463e-ba13-409dcb9d794a,JÃKÌR GAmInG,5,Nice,2020-08-30T13:42:04,3.7.7
en-np,11e1b3dd-353c-4b48-a643-8e624551e9ef,Saurav Pokharel,4,Has esewa started to charge some amount on bank transfer to saved bank account? The free of charge system on transfer to saved bank account was much more preferrable,2020-08-30T13:10:02,3.7.7
en-np,5aac16bf-fec4-4a60-afcd-551a705144fd,Razesh yadav,5,Awesome,2020-08-30T11:55:30,3.7.7
en-np,34e3c36d-531b-46a7-a788-5cf95a15e0bc,No Excuse-nex,1,My I'd has been blocked and I request to unblock but they don't listen They said that your I'd has been used for gaming I don't know the rules of esewa many people are using it but I refer not to use this app for gamer your I'd will be blocked..,2020-08-30T11:33:03,3.7.7
en-np,9b93dbe8-2516-4831-9b7e-e38b2ea75659,B T R,1,They banned the purpose for which it was use by all that was gaming purpose and we have some problem because of e sewa banning I'd used fro gaming purpose My rate will change if they get the gaming purposes user to unban their id,2020-08-30T11:20:02,
en-np,01e826ea-9182-4035-92f1-5e7360294083,Sub- Gaming,1,They banned the purpose for which it was use by all that was gaming purpose and we have some problem because of e sewa banning I'd used fro gaming purpose My rate will change if they get the gaming purposes user to unban their id,2020-08-30T11:19:35,
en-np,907873bc-c14d-4ba5-96ab-c7ae420d1e30,GUNACE,1,They banned the purpose for which it was use by all that was gaming purpose and we have some problem because of e sewa banning I'd used fro gaming purpose My rate will change if they get the gaming purposes user to unban their id,2020-08-30T11:19:16,3.7.7
en-np,79f3cdc5-d1a5-4f89-828c-368a648e58f9,BABY MUSIC,5,Most useful apps,2020-08-30T10:58:08,
en-np,379eb002-ee2e-465b-9ee2-839d39b0bcfd,Shekhar Pandit,1,"Customer care service is below average. To add free account, Account Holder's name is selected as your profile name by default. Made request to change it. But they made that change in my personal information. So the issue was never solved. On top of that they changed my profile pic and PP under personal information with someone's random citizenship image. Made call to customer. They didn't even acknowledged their mistake and simply asked me to share my pic via Viber and they will change it.",2020-08-30T10:29:34,3.7.7
en-np,72bacf3e-da36-4f6a-a9cd-339945498588,Aman Khawas,5,nepal best wallet ever😚😚❤,2020-08-30T08:39:18,3.7.7
en-np,2e5e1c82-0a80-4cb6-a8ad-4d91f9fc4828,Xman gaming,5,Nice app,2020-08-30T08:16:41,3.7.7
en-np,7956f4b6-d0ec-4f3c-9e8a-6c8e2b30f3ed,Bam Bahadur,5,Good,2020-08-30T07:01:35,3.7.7
en-np,3a771bd5-f215-43cf-b8cd-93b86a538b08,sudip chaulagain,5,Very help full app on cash deal,2020-08-30T06:48:01,3.7.7
en-np,ae17eeab-0226-4d81-90f6-f33700857a5c,bharat kandel,5,Very nice and sefty app.,2020-08-30T05:38:51,3.7.7
en-np,5ef15ace-e649-47b7-b8ed-20025bcde9f0,Reshma Shrestha,1,Electricity bill kina tirna namileko,2020-08-30T04:50:47,3.7.7
