locale,review_id,author,rating,review_text,date,app_version
en-np,091b9ddf-42d1-4680-bec0-856bfac227fe,Bijay Ratgaiya,1,It's really bad app in my account 936 Rs But I could not send that money to someone else I really need that money But on my account The limit has been exceeded So I am not able to send money from my account to others account Please resolve this issue I know this system is good but not good at the time of need Thank you,2022-08-23T18:00:16,
en-np,b06051c4-7c56-4124-8c2d-e9f32a2f64d6,Solti 444,1,Disgusting app they band others account simply if anyone complains without any proof ..,2022-08-23T16:07:30,
en-np,6326cbc9-8ce0-4b54-b29a-427110ca11bb,Aspika Rai,2,"I can't send money or do anything, it keeps loading only.",2022-08-23T15:50:40,
en-np,b719895d-dc28-4dde-a7d2-4ef8821fe5d4,Day boy,1,Delete your secured transfer method unnecessary add garera paisa ni aauna time laagecha jhanjhat matrai geda jasto,2022-08-23T13:58:48,3.9.0.1
en-np,8df43e02-a4b9-4bd2-afd5-d783fa916182,Sm Sm2,4,So Good,2022-08-23T13:44:46,3.9.0.1
en-np,2e8dc3ff-abc8-4a67-939d-4609486c9adc,Rubin Singh,1,Wow,2022-08-23T11:58:32,
en-np,715ac554-bf2b-432e-9aa6-e93117554a12,Razu Swarnakar,1,I am so disappointed from esewa,2022-08-23T07:36:29,
en-np,a5c65b87-7460-44d1-97ee-fe35890c31ba,Sᴀʜᴀɴ,1,Khai tw update nai hudaina tw Whats new ma xai issue fixed re Yaa update garna khojda update nai hudaina k ho yesto,2022-08-23T06:56:47,3.9.0.1
en-np,199a42ff-8c33-4e01-bb8f-1197416b1ea7,Abishek singh,1,Not working properly,2022-08-23T05:38:33,3.9.0.1
en-np,5ca56e32-d4df-48bd-8db3-81c149f2eccb,Govind Singh thagunna,5,Think xa,2022-08-23T02:40:57,
