locale,review_id,author,rating,review_text,date,app_version
en-np,e74cce2c-363c-492d-9820-7c191c22990f,Zahid Ansari,5,Very good application,2020-05-16T12:29:54,3.7.1
en-np,8cbdd97d-6228-454d-b9a2-d807b67b0196,Birjesh Kurmi,5,Nice apps,2020-05-16T12:19:21,3.7.1
en-np,69147f16-d5f1-4485-a465-1743b3426fd6,Prabhat Pun,5,I need a help can u help me. Waiting for your response,2020-05-16T10:22:48,
en-np,88069b9e-2a3d-41d4-949f-321b2a2cc83d,Debindra Gurung,5,Good,2020-05-16T09:57:49,3.7.2
en-np,cdcc4dca-54b4-4c2b-b740-1565c8b4acb0,Manish K c,5,Manish k.c,2020-05-16T09:10:03,
en-np,2ecd8088-d432-426d-8021-ecce39c67228,Om FF (Demon's minded),1,randiko xoro app machixkne mugg poisa matra halna paryo muggg payment garda chahi limited money exceedd mugg randiko xoro yesto app ni banauxw randiko xoro,2020-05-16T08:58:11,3.7.2
en-np,2fa04e8d-f94c-472c-b386-912f1304a87a,ANIL IT SOLUTION,1,User session expired,2020-05-16T08:10:47,
en-np,0b4cfb65-65c1-4a57-95eb-efe3f3a4c409,Samjhana Adhikari,5,Good,2020-05-16T05:17:41,3.7.2
en-np,42393690-51ee-40dc-95d7-8ac3ca53ce18,narad tumrok,5,Love it,2020-05-16T03:03:26,3.7.2
en-np,eec9a466-a31a-4b6b-843f-540a534acca4,Nepali Gamer,5,Nice,2020-05-15T18:39:19,3.7.2
