locale,review_id,author,rating,review_text,date,app_version
en-np,ad0047cc-61f2-4581-9664-2d3c3d7c212d,Shivraj Jaishi,5,ब्याज दिनु पर्यो ।,2023-04-10T17:47:41,3.13.4.0
en-np,4d6d28b4-2bd3-4196-a32f-418d16e2bb3d,Jharilal Yadav,5,Best payment app in nepal genuine,2023-04-10T15:15:50,3.13.4.0
en-np,84b4ffdf-ee52-43ab-a32d-192e9774663d,Arjun Lama,5,Lovely app this app help to as business and work activities,2023-04-10T14:57:49,3.13.4.0
en-np,c033a454-108c-4020-99d7-95e561a09733,LRG Ram,1,Wonderful app 😍😍😍😍 I love it 💞,2023-04-10T13:41:55,3.8.8.1
en-np,7d66fb4a-8cb8-42d6-a5ad-21b53131ed0d,Nishanta Bhattarai,5,Good,2023-04-10T12:59:30,
en-np,f1973873-2bbe-4f81-a160-35032be6b4bf,Dear Zindagi,3,Good app,2023-04-10T10:20:04,
en-np,061d4f6a-1442-4c68-810d-16bb86283b0d,Amrit Kamti,5,This app is very useful for Nepali good 👍 100/99.99 i get ratting this app,2023-04-10T07:45:45,3.13.4.0
en-np,945eb45b-5d43-46cd-ab82-463bffde6e9e,Romun Shrestha Dhunju,1,Can't link my nimb account to esewa. Sow when is it's happening ?,2023-04-10T06:35:57,3.13.4.0
en-np,48d42503-3a7e-448a-888f-5f313fd7eac7,OM Kumar Mukhiya,5,I like this app,2023-04-10T03:14:58,3.13.4.0
en-np,121c9855-0ad3-483d-b41f-54b1852de403,Suresh Idhingo,1,"Esewa coustmer support is so worst One other then, i was tray 20 time call but don't resive call & send mell but not respond and my problem is not solve so that i was forced left esewa 😭😭",2023-04-10T01:54:26,
en-np,d670c172-1c36-482c-bb52-45fa920de2f9,Raju Khadka,1,"I am compelled to give 1 star rating and soon uninstalling it.It is the worst app, i forgot my password but when i try to reset it, i doesn't even send code and says already login other devices which isn't true and they even dont reply and respond in any media. Use other apps rather than this.",2023-04-10T00:21:51,3.13.4.0
