locale,review_id,author,rating,review_text,date,app_version
en-np,02d9d2bb-4683-49bd-8f04-3b36e0371ffa,A Google user,1,Very delay open,2025-01-08T13:20:12,4.3.4.2
en-np,508e32cd-eac8-4b6d-b3f9-8f1ea9f96529,Ankit Magar,1,Totally disappointed when i try to send money or try to login app esewa says sorry! Connection has timed out please try again! 😡 It's so disappointed,2025-01-08T12:51:11,
en-np,db7cc761-5d05-4994-944b-e910e2085816,MIYA Miya,3,Nice app,2025-01-08T12:38:46,
en-np,2d8e9753-9868-4e98-afe1-ebcd7ef38c1e,Ritesh Rawal,5,Nice app 😊,2025-01-08T10:53:30,4.3.4.2
en-np,e53290a5-b2f2-4832-b7a1-5793c35d407b,Dhan Tamang,1,Poor service 😞😞😞🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺,2025-01-08T10:04:39,4.3.4.2
en-np,ea83806a-8280-49fe-8ec7-fd0e3c696f7a,Rashu raja Jabegu,1,Something is always wrong with the services . not reliable .,2025-01-08T09:40:03,4.3.3.4
en-np,92c2462a-3f40-499f-b4b6-63b5d5b0de40,Rabeel Tamang,1,Very bad 👎 Never gonna use this again,2025-01-08T09:36:03,4.3.4.2
en-np,c00997ee-22ae-4fb5-8dc0-af98d8f766dc,RN LINES,1,Need free service,2025-01-08T09:00:02,4.3.4.1
en-np,21f9d49b-231e-4170-9a90-3972ba8f09b3,WSS JOkERyo,2,I perfer khalti rather than esewa ! Ask me why,2025-01-08T06:48:25,
en-np,bf269fa8-fed8-41ee-b82e-f3fc652053fa,Dhaneswor Pokhrel,5,It ia nice apk,2025-01-08T06:37:28,4.3.4.2
en-np,7a11ca5b-816c-4b54-a600-8505c96a6d21,Aashish Thapa,5,what a awesome app,2025-01-08T05:37:22,4.3.4.1
en-np,a672a8cb-8bb5-45f6-a852-9ce4efabd2fb,Mahendra Shah,1,💗,2025-01-08T00:26:37,4.3.4.1
