locale,review_id,author,rating,review_text,date,app_version
en-np,5c1c1fdd-f6b6-4b2b-9856-ae1e9b3fe397,Sunil Chaudhary,4,"All services are good but a problem I am facing that I can not topup balance to other numbers. There is not any options to topup another number this is big problem which I am facing. And help link doesn't satisfy to as needed. There is poor help service. First time when i was using, all the features had given. But now by update or don't know this app dissatisfied to me. And Also I can't able to topup my won number what the hell is going on?",2023-04-03T15:47:01,3.13.4.0
en-np,98d3316a-2c3c-4c11-a58d-a9c68df1a58d,Aman Sah,5,Give me some please,2023-04-03T09:38:04,3.13.4.0
en-np,a51264cb-c933-447f-8cd1-7328e58c0d1a,Prakash rokka,2,Any time kyc update require but not update.. worst apps,2023-04-03T05:56:58,3.13.4.0
en-np,87ef5811-2345-4c83-ac64-bd374a0dd4a4,Ramesh Tharu,5,Nice,2023-04-03T05:48:42,3.13.4.0
en-np,0713b1f3-4b5f-4d49-a9ad-feb244cdff4e,Rocky Rocky,1,It was a bit of a sudden change of,2023-04-03T05:11:25,3.13.4.0
en-np,6721061c-a21e-485d-9208-d0ba85d4b069,Jaymani Joshi,5,Very good app,2023-04-03T01:13:39,
