locale,review_id,author,rating,review_text,date,app_version
en-np,4b4d55c7-ba59-4096-919b-ec956d9e8ed1,Mohan Dhami,5,Good,2024-10-02T15:49:00,4.3.3.4
en-np,3ffffe3a-fae1-4a21-b75d-9a03f62abf9e,Sanjay kumar Chaudhary,3,Wallet is good but when I register in uae can't get verification code Plz fix it,2024-10-02T13:46:48,4.3.3.4
en-np,d14d4f51-b976-493f-b6d7-db257ef03376,Baby Iccha,2,My money transaction is pending.. will it return back?😵‍💫,2024-10-02T11:43:20,4.3.3.4
en-np,572cdd91-5581-448d-b30f-b277cf8bb969,Himal Hamal,2,"I would like to share my experience while booking flight tickets on refundable policy, I got my ticket from KTM-BHR on Oct 1 for Oct 4th and for some reason I have to go earlier then scheduled date there were no flight available because of dashain . I applied for refund on Oct 1st evening, today afternoon I got a call from customer representative and told me they will charge straight 25% cancellation change and cut the call, I tried to speak back to him esewa call center is worse can'tconnect",2024-10-02T09:51:17,4.3.3.4
en-np,d44a2705-a33f-4fb6-96e1-7bc579f968ee,ràám sàán,2,esewa ma 50 cash transfer hundaina. 99 samma chai paisa hona?? please fix that.,2024-10-02T07:09:20,4.3.3.4
en-np,df6bdaf5-29a6-48e3-a270-86d984e94d0b,Raut Suwash,1,Esewa had not solved my problem from many day . And now they are not receiving my phone,2024-10-02T07:04:35,
en-np,8f17f06f-9fb6-4833-918b-986de7f1e940,Nadia Dasid Basiri,5,Just now l open is to much application to do but now it's ok,2024-10-02T04:56:16,4.3.3.4
en-np,2bc4c9f4-5bdd-4bf2-98c3-61909a4f26b6,Dabal Thapa,4,"vakamb mmmnb vnf,t,cmzस",2024-10-02T04:34:50,4.3.3.4
en-np,ed7e48e0-96ef-459b-a40b-9fad3a828c82,Kushal Timalsina,1,My e sewa is not working,2024-10-01T23:47:55,4.3.2.1
