locale,review_id,author,rating,review_text,date,app_version
en-np,9b60b2b4-f53b-4e73-b26e-9f9cee995da3,Ultimate Goals,1,My experience with esewa has been worse and worse. All the bugs and it doesnot respond time to time. Damn this app makes me uneasy,2026-03-16T15:28:30,4.8.1.0
en-np,4d882c83-843a-442e-9091-e3bce654438a,Upen Kumar Ram,5,I am so happy 😊 your sawa. ❤️❤️,2026-03-16T14:29:08,
en-np,bbc138b8-93ca-4aa1-bab5-08bae8aa8bef,Subhash Mahara,5,Good,2026-03-16T13:42:23,
en-np,f5c1fb92-1fc0-42ac-85e1-2ca49e5972c7,Ram Yadav (1AM),5,Excellent,2026-03-16T12:45:34,4.8.1.0
en-np,fc94c8b4-00f9-4003-a764-9573874b43d5,Phool mohammad Qasmi,4,excellent,2026-03-16T09:33:21,
en-np,cdc51df2-e8c1-4447-b5c1-8c6c67f95999,Hamja akhtar,5,very easy app,2026-03-16T09:28:37,4.8.1.0
en-np,1f6b467d-9449-485d-bc1f-7d0b0fca819a,Bhawana Khadka,5,very easy to use,2026-03-16T08:54:46,4.8.1.0
en-np,ccb6f2f8-53e3-41e9-ae51-966d893677d9,Sugam Lama,5,ok,2026-03-16T08:23:50,4.8.1.0
en-np,71fad086-47ed-4887-a1d4-83b3951752cd,Redmi 12proplus,5,good for mobile but login many times in desktop,2026-03-16T08:02:25,4.8.1.0
en-np,844acf7c-445e-4f9e-adae-7519a96f4181,Punk Anish,1,used to be good now full of errors cant tranfer money at the time of urgency sometimes money gets blocked,2026-03-16T07:33:46,4.8.1.0
en-np,7f5d2ed3-e954-4e65-973d-8c274b86ccc8,kapil jaigadi,3,good,2026-03-16T05:40:02,4.8.1.0
en-np,441f5534-88e6-4102-9f1e-18ce8799eec4,Bikram Kumar,5,nice 👍🏻,2026-03-16T03:30:57,
en-np,c5c944b3-52e4-471d-a293-c6710725f384,Pratyush Gautam,5,it so good,2026-03-16T00:38:54,4.8.1.0
