locale,review_id,author,rating,review_text,date,app_version
en-np,e3c13983-bc9a-4768-bb4b-b464b4d237f2,DIPESH JUNG Saud,5,Is the best for money transfer 🙏💚❤️,2021-01-24T15:23:45,
en-np,c47b67a2-c5c8-4524-a195-0f3a071a8cf4,Unknown Player,1,Real scammee Esewa App,2021-01-24T14:52:08,
en-np,de614a74-6d16-4a5f-b35b-400ffc5a1cd0,Geneva Powell,1,Radi ko ban gaming Vandai aaru ko ragat pasinako paisa khais haina? Jindagi vaar mero aashu le polxa talai herdai gar Ali din kamaulas paxi kalantar ma hune thei ho !,2021-01-24T14:13:23,
en-np,5d985c09-f41d-4308-96aa-9cf0d4b3f3a9,Aarnav Shrestha,1,I can't send money it is saying excess load plzz fix it,2021-01-24T13:26:07,3.8.4
en-np,b74cf72c-fc3e-493a-8622-43a3f1693e65,Sukram shrestha,5,Nice app!!,2021-01-24T12:20:06,
en-np,78ec4b55-26e8-461c-a763-7ee282027499,Sudarshan Baral,5,best online wallet in nepal User frinedly convenient to use and offers wide range of services,2021-01-24T12:18:03,
en-np,19ef4f75-73e5-4763-9b08-68e22ad74196,Saswot Kunwar,5,This app so nice 🆗👍👍,2021-01-24T12:08:51,3.8.4
en-np,ed6e934a-18aa-43dc-a4cf-188a50544ff9,Smita Bhattarai,5,very nice app,2021-01-24T12:04:59,
en-np,ed82cd29-d8fb-4504-954f-d39f2da96b9b,Dr. Saurav Shrestha,3,Would have been better if cashback percent was shown in most feature!,2021-01-24T08:34:39,3.8.4
en-np,a68989b0-6e82-4e5c-83ba-b71fda0931f1,VIPERꔪ,1,I cannot verify ma kyc and I cannot change name of esewa id.And I cannot receive 4 times per day,2021-01-24T08:27:16,
en-np,9e3f818d-49dc-439e-9de9-3565c817c77f,Aviral Dahal,1,it's not much useful,2021-01-24T07:22:59,3.8.4
en-np,4c34676c-d126-4f4c-8d21-c1b3f527f4f6,Aayush Chudhry,5,Wah,2021-01-24T04:47:17,
