locale,review_id,author,rating,review_text,date,app_version
en-np,564e1cbb-c4ee-4f06-81d6-092d7605fd0f,Rohit Sharma,1,Mobile banking with laxmi bank removed,2020-08-01T08:52:05,3.7.6
en-np,0b040791-9174-4f95-9754-4ddf4543a745,Gyanendra Chaudhary,5,My special app im lobing it,2020-08-01T05:27:56,3.7.6
en-np,47f5607d-a9c4-43d4-947b-153034297baa,Fact Words,4,This apk is very helpfull and simple wallet,2020-08-01T05:21:08,3.7.6
en-np,878b03c6-54c1-4da1-b042-53ca2bd1c220,aayush pathak,1,No links provided to change password in the app,2020-08-01T04:03:02,3.7.6
en-np,887de47e-e489-42a1-af89-aa99675b413e,Madeshi Gaming,5,Nice application for nepal just to be update and cash point,2020-08-01T02:31:06,3.7.6
en-np,75569523-fc36-406a-b41e-4cf1684588ea,Rabin kancha,5,ESEWA IS THE BEST & IS ALWAYS NUMBER ONE PAYMENT GATEWAY; I LIKE PROMOCODE FEATURES VERY MUCH THANKS ENTIRE TEAM⛤⛤⛤⛤⛤,2020-08-01T00:06:01,3.7.6
