locale,review_id,author,rating,review_text,date,app_version
en-np,14c621eb-f772-47fb-a532-bfe252a06ce3,Kamal Thapa Magar,5,Nice,2021-05-22T17:36:25,
en-np,0aaa18fd-5c63-4321-b8c4-0160027ca94b,Rama shankar Yadav,5,Ya this app is very use ful for nepali person,2021-05-22T14:47:05,
en-np,8f0f8440-c062-49ba-ae8e-3cac2b3b2f3e,Kamalapati Bhatt,4,I like this app it is very useful to use this app while we can save out time as well.,2021-05-22T14:26:56,
en-np,4ba6232d-c886-4ff5-839f-667983a399b4,Fury Xx,1,Lado kha chikni,2021-05-22T13:24:18,
en-np,0a85ba76-d007-49d9-bc47-fc13f9317de0,Sailesh Niraula,2,During initial peroid message can be sent to the person whose electricity bill is paid. But now no such feature is found,2021-05-22T08:51:23,3.8.8.3
en-np,870109a1-0fe8-48b4-91b4-59baa5ab11bd,Kumar Bhattrai,5,Nice,2021-05-22T07:41:36,3.8.1
en-np,4c9c47e2-435d-48db-a687-d2688e29842d,Arjun Niraula,1,"Everything is fine but need to focus on customer service more , and you are not alone in competition of payment gateway so try to make more beneficial for your customer in terms of service , option , ui friendly , quality , more offers i mean better then others , why i choose rather then other app becuase they gave me same cashback and same service i know you have large merchent panel but i belong outside valley so can you tell me how many of your merchent provide service outside valley ? .",2021-05-22T07:02:08,3.8.8.3
en-np,a8b2b32e-8910-4548-b8ea-f6e9e762c858,Bishal Tamang,1,M...O....M......O,2021-05-22T03:33:24,3.8.7
