locale,review_id,author,rating,review_text,date,app_version
en-np,09ee5630-651b-43a0-9677-21134cc41b01,Chill Boyz,1,Xin xin ma login gari rakhnu parne ek xin mai blocked mpin ni kati choti halnu parnu xi tori jasto apps,2024-03-02T14:04:40,
en-np,71bc9639-ab07-4ee1-8701-36b96305d68d,Prakash Mgr,5,🥰,2024-03-02T13:22:17,4.2.1.1
en-np,6de050b7-d279-4f0a-a6c9-b2fb5bca3f95,Sukmati Phago,5,Great App,2024-03-02T12:27:59,4.2.2.1
en-np,d2d78c64-7144-4020-9382-908e0eca5cff,Sidhu Sidhupaswan,5,Super,2024-03-02T12:03:29,
en-np,41c44cad-2749-440f-a2c6-c5953f46fc4f,Kishan Yadav,5,Mister Kishan Yadav,2024-03-02T07:18:43,
en-np,ec491f2d-1af0-481c-96e3-a050fe2b7a39,krishna krishna,1,It's to hard to login if you forgot your password,2024-03-02T07:08:20,4.2.2.1
en-np,1fba24f3-e2be-4bfc-8a7a-abe9c5ae93c3,Dev Raj,5,I love it,2024-03-02T05:59:24,4.2.2.1
en-np,00ec384e-6932-4fdc-b6f9-3649577226ab,Sabita Pokharel,4,Five,2024-03-02T04:15:34,
en-np,d7a2946e-525a-4514-9091-6e77170aa1a1,Anish kumar Güpta (Mastermind),5,Best,2024-03-02T03:23:35,4.2.2.1
en-np,46491750-bb44-40d8-8976-3f02f47e902c,moti Neupane,5,Exclent,2024-03-02T00:27:25,4.2.2.0
